,Date,User,Tweet
43,2023-02-23 16:23:56+00:00,TimesNow,"#SorryAfterInsult

One Cong Neta Deplaned &amp; Detained... Cong Hijacks Runway For Rajniti

Now, Offers Apology After Insult

Khera Admits 'Inadvertent Error'

BJP: First Abuse, Then Play Victim

Facing Arrest, ‘Sorry’ To Save Face?

Watch @thenewshour with @navikakumar https://t.co/oJIaJsm3re"
44,2023-02-23 16:20:00+00:00,TimesNow,"#KhalistanFreeRun

Unprecedented Capitulation... Separatist Now Dictates Terms

Guns, Swords, Clash With Cops, 'Blackmailed' By A Khalistani

Police Frees Amritpal’s Aide

AAP Letting Khalistanis Prevail?

Watch @TheNewshour AGENDA with @PadmajaJoshi @ 10 PM https://t.co/Q7ESoUTPp6"
45,2023-02-23 16:19:02+00:00,TimesNow,"#KhalistanFreeRun

Punjab police has been put under house arrest. Amritpal Singh had threatened the police that if his aide isn't released, he will come himself to take him. The law and order in the state are under threat: @PritpalBaliawal

Watch @TheNewshour with @NavikaKumar https://t.co/d19bvbEATR"
46,2023-02-23 16:10:00+00:00,TimesNow,"#KhalistanFreeRun

Unprecedented Capitulation... Separatist Now Dictates Terms

Guns, Swords, Clash With Cops, 'Blackmailed' By A Khalistani

Police Frees Amritpal’s Aide

AAP Letting Khalistanis Prevail?

Watch @TheNewshour AGENDA with @PadmajaJoshi @ 10 PM https://t.co/iPZ22vVBXq"
47,2023-02-23 16:08:46+00:00,TimesNow,"#KhalistanFreeRun

How can we claim to be a great power, when we can't even prevent a few hundred anarchists from removing the Indian flag from Red Fort or can't protect our police stations: @ARanganathan72 slams Punjab govt &amp; Centre over the Khalistan issue.

@RShivshankar https://t.co/jDlDoTtu8Z"
48,2023-02-23 16:08:44+00:00,TimesNow,"#KhalistanFreeRun

How can we claim to be a great power, when we can't even prevent a few hundred anarchists from removing the Indian flag from Red Fort or can't protect our police stations: @ARanganathan72 slams Punjab govt &amp; Centre over the Khalistan issue.

@RShivshankar https://t.co/vvJ7q6gpT0"
49,2023-02-23 16:05:42+00:00,TimesNow,"#KhalistanFreeRun

The biggest sympathizer of the Khalistan movement- Mr. Simranjit Singh Mann is sitting inside the Parliament. As far as AAP is concerned, nobody supports this movement:  @ravi4354

Watch @TheNewshour with @NavikaKumar https://t.co/fxLZ5vTjUF"
50,2023-02-23 16:01:03+00:00,TimesNow,"#KhalistanFreeRun

An S.I.T. has been formed to investigate further in this case. Law &amp; order will take its own course. BJP just want to see Punjab burning so that they can come to power: @akashmuni01

Watch @TheNewshour with @NavikaKumar https://t.co/FhW1y9MeS9"
51,2023-02-23 16:00:03+00:00,TimesNow,"#SorryAfterInsult

One Cong Neta Deplaned &amp; Detained... Cong Hijacks Runway For Rajniti

Now, Offers Apology After Insult

Khera Admits 'Inadvertent Error'

BJP: First Abuse, Then Play Victim

Facing Arrest, ‘Sorry’ To Save Face?

@TheNewshour with @NavikaKumar @ 9:35 PM https://t.co/X2bbuFh85u"
52,2023-02-23 16:00:01+00:00,TimesNow,"#KhalistanFreeRun

Unprecedented Capitulation... Separatist Now Dictates Terms

Guns, Swords, Clash With Cops, 'Blackmailed' By A Khalistani

Police Frees Amritpal’s Aide

AAP Letting Khalistanis Prevail?

Watch @TheNewshour AGENDA with @PadmajaJoshi @ 10 PM https://t.co/BqtAeeyzYz"
