tweet_id,Date,User,Tweet
47,2023-02-23 16:16:11+00:00,IndiaToday,"No country is going to come out of a difficult situation and become prosperous if its basic industry is terrorism, said External Affairs Minister S Jaishankar in a veiled attack on Pakistan.
#Pakistan #News #SJaishankar 
https://t.co/U6hgKQAYFM"
48,2023-02-23 16:15:24+00:00,IndiaToday,"Adani Crisis: Why is SEBI silent? 
@alokgbc, MD, Churiwala Securities, says, ""It will take a few months for the real picture to come through.""
Listen in to what equity strategist @KRANTHIMARK has to say. 

#AdaniGroup #Business #NewsToday | @sardesairajdeep https://t.co/rrX3Q6uP21"
49,2023-02-23 16:13:41+00:00,IndiaToday,"Here's a timeline of how developments unfolded and what led to protests in Amritsar today.
(@manjeet_sehgal) 
#AmritpalSingh #Amritsar 
https://t.co/KVC6PEf1Nq"
50,2023-02-23 16:12:37+00:00,IndiaToday,"The Bombay High Court on Thursday directed the Vasai Sessions Court to pass an order on actor #SheezanKhan's bail application in two weeks.
(@journovidya) 
https://t.co/6IBCdRauLQ"
51,2023-02-23 16:11:31+00:00,IndiaToday,"Indian-American business executive #AjayBanga was nominated by US President Joe Biden to become president of the #WorldBank.
https://t.co/2WTZKNOP7t"
52,2023-02-23 16:09:26+00:00,IndiaToday,"Business Today's @TheSouravM says, ""There are several lessons to be learned from the Adani fiasco."" 
""It was the responsibility of SEBI to inform the market about the rise in Adani shares,"" says research analyst, SEBI, @HemindraHazari 
#NewsToday | @sardesairajdeep https://t.co/UNyMpB7ZyR"
53,2023-02-23 16:08:49+00:00,IndiaToday,"Union Home Minister #AmitShah said if people in #Karnataka vote for the BJP, the party will make #Karnataka the most prosperous state in southern India in the next five years.
(@nagarjund)
https://t.co/huRn3isPRA"
54,2023-02-23 16:04:26+00:00,IndiaToday,"Chhattisgarh: Raipur is decked up ahead of the 85th plenary session of the Congress party. Supriya Bhardwaj shares a sneak peek
#ReporterDiary #Politics #Raipur (@Supriya23bh) https://t.co/AozZ0C3FHl"
55,2023-02-23 16:03:44+00:00,IndiaToday,"Division and distrust: Will Opposition stand united for 2024 elections?
(@mausamii2u)
#news 
https://t.co/9Z1KJTPzXu"
56,2023-02-23 16:02:23+00:00,IndiaToday,"#SanjayRaut alleged that police threatened the employees of party mouthpiece 'Saamna' in his absence, two days after the Sena leader claimed that there was a threat to his life.
(@pankajcreates)
https://t.co/GdbyLrJJQG"
57,2023-02-23 16:02:11+00:00,IndiaToday,"#BJP spokesperson @syedzafarBJP says, ""If an FIR has been filed against somebody, then the police will execute its power.""
""We will continue to ask questions on Adani matter,"" says #Congress spokesperson @SupriyaShrinate

#PawanKhera #NewsToday | @sardesairajdeep https://t.co/GUA02VtpsB"
58,2023-02-23 15:58:07+00:00,IndiaToday,"A mysterious giant metal ball was spotted at a beach in Japan. Here's how the local residents and the netizens reacted.
#Japan #News 
https://t.co/38bgBJXrhR"
59,2023-02-23 15:52:14+00:00,IndiaToday,"Has #BJP misused police powers to deplane someone &amp; arrest him?
@syedzafarBJP replies, ""If there is an FIR against him, will the police wait for him to travel to Assam?""
@SupriyaShrinate makes a counter attack on PM
#Congress #NewsToday | @sardesairajdeep https://t.co/meRidDjmiY"
60,2023-02-23 15:50:29+00:00,IndiaToday,"Arrest sign of dictatorial mindset?;
Adani stock crash: Why is SEBI mum?
Watch this &amp; much more on #NewsToday with @sardesairajdeep | #ITLivestream
 https://t.co/3K4p76Xam3"
61,2023-02-23 15:49:08+00:00,IndiaToday,"The Enforcement Directorate summoned Aam Aadmi Party leader #JasmineShah in connection with the excise policy case.
(@MunishPandeyy) 
https://t.co/h3fQusnssK"
62,2023-02-23 15:41:53+00:00,IndiaToday,"Indian Tourism is branched into several forms, India has a chunk for every kind of a traveler. 
Watch #IndiaTodayTourismAwards on 24th Feb,from 10:30 am, as best destinations across states receive awards. 

Watch Live: https://t.co/byz0w1Syq9
More: https://t.co/MsyBS1uMfr
#Promo https://t.co/J9vVyN0vQP"
63,2023-02-23 15:40:10+00:00,IndiaToday,"Pawan Khera's arrest sparks runway ruckus! 

#Congress #NewsToday | @sardesairajdeep https://t.co/KTXfbUGPD0"
64,2023-02-23 15:40:06+00:00,IndiaToday,"Observation skills puzzle! 

Can you find out the hidden mistake the picture? Let us know in the comments below. 

#YourSpace #Puzzle #Observation #HiddenMistake https://t.co/aEsLGx77nO"
65,2023-02-23 15:37:05+00:00,IndiaToday,"This incredible sculpture with a heart-shaped swing is an ode to a mother’s love. Twitter is mesmerised
#trending #viralvideo
https://t.co/XJrlI0lybe"
66,2023-02-23 15:31:20+00:00,IndiaToday,"Arrest sign of dictatorial mindset?;
Adani stock crash: Why is SEBI mum?
Watch this &amp; much more on #NewsToday with @sardesairajdeep | #ITLivestream  https://t.co/TnPAUPKs08"
67,2023-02-23 15:28:58+00:00,IndiaToday,"#EXCLUSIVE: India Today investigation uncovers forensic scientists manipulating forensic reports in exchange for bribe  
Watch this special investigation by @mdhizbullah &amp; @ojasjain11

#Newstrack | @rahulkanwal https://t.co/f8esobeLx8"
68,2023-02-23 15:23:15+00:00,IndiaToday,"Author &amp; analyst @JhaSanjay says, ""If all opposition parties were to take the Adani matter across the country, you have a significant outlier moment that can completely change the dynamics of the poltics in the country."" 

#Elections2024 #Newstrack | @rahulkanwal https://t.co/7Qe7ldljDi"
69,2023-02-23 15:21:11+00:00,IndiaToday,".@SushmitaDevAITC says, ""We did not go to Goa to defeat the Congress, we went because Congress was unable to win.""
""Congress cannot afford to be seen as a fringe party,"" says @bainjal
Listen in to what @_YogendraYadav has to say. 
#Elections2024 #Newstrack | @rahulkanwal https://t.co/CdCaek806c"
70,2023-02-23 15:18:45+00:00,IndiaToday,"Congress spokesperson Pawan Khera arrest; Hindenburg continues to haunt Adani group even after a month. Watch this and much more on #NewsToday with @sardesairajdeep, at 9 tonight. 
#Promo https://t.co/y6UsvPFp0l"
71,2023-02-23 15:14:54+00:00,IndiaToday,"#Congress leader @AiyshwaryaM says, ""Bharat Jodo Yatra acted as a game changer for the party.""
""Congress is &amp; was a party with largest footprint in the country, "" says @_YogendraYadav 

#Elections2024 #Newstrack | @rahulkanwal https://t.co/fTZvkMAgP5"
72,2023-02-23 15:12:26+00:00,IndiaToday,"Conman Sukesh wept after prison authorities seized his luxury slippers, jeans in raid. Find more on this with @nabilajamal_

#SocialMediaSpecial #ITReel #ITNewsByte #Conman #Raid https://t.co/CG5lECcmoL"
73,2023-02-23 15:11:50+00:00,IndiaToday,"Cong needs to take a strategic decision if it wants to take the lead: TMC leader @SushmitaDevAITC
All of us need to move past our ambition of expansionism &amp; look at where we can best fight: @AiyshwaryaM 
Listen in to what psephologist @YRDeshmukh says. 
#Newstrack | @rahulkanwal https://t.co/mYp0n4tsCj"
74,2023-02-23 15:06:07+00:00,IndiaToday,"Indian-origin American entrepreneur Vivek Ramaswamy just entered the race for the next US President.

#NewsMo #Indian #US #Presidency #VivekRamaswamy #POTUS https://t.co/ZAXXlM80Pb"
75,2023-02-23 15:01:42+00:00,IndiaToday,"Listen in to what @_YogendraYadav replies on speculation of him joining the #Congress
Congress leader @AiyshwaryaM says, ""All of us need to realise the inevitability is to have a opposition on a plank.""  
#Elections2024 #Newstrack | @rahulkanwal https://t.co/qVdDw5i36Y"
