,Date,User,Tweet
41,2023-02-23 15:24:01+00:00,ndtv,"#NDTVBeeps | ""Take Full Responsibility For Uday Chopra's Accent"": 'The Romantics' Director Smriti Mundhra 

Watch full interview here: https://t.co/3bJWEqKqAc https://t.co/a1SU6IWCyY"
42,2023-02-23 15:12:23+00:00,ndtv,🔴#BREAKING | Ex-Mastercard CEO Ajay Banga Nominated By US President To Lead World Bank  https://t.co/ZDrBbjCRCO https://t.co/bcr6dBCAUz
43,2023-02-23 15:12:12+00:00,ndtv,#AjayBanga https://t.co/FkMlghT1GM
44,2023-02-23 15:11:40+00:00,ndtv,#NewsAlert | US President Joe Biden nominates ex-Mastercard CEO Ajay Banga to lead World Bank | reported by news agency AFP
45,2023-02-23 15:09:12+00:00,ndtv,"#Opinion: With ChatGPT, The Ethical Time Bomb Is Ticking - by Jaspreet Bindra (@j_bindra)  https://t.co/7eQlUAkevm https://t.co/szVvnWycQD"
46,2023-02-23 14:43:46+00:00,ndtv,"Watch #BreakingViews, tonight at 8:30 on NDTV 24x7 and https://t.co/hMlRpgak2y https://t.co/ksjZ7euI8v"
47,2023-02-23 14:30:17+00:00,ndtv,🔴 Watch Live | Top headlines at 8 pm https://t.co/zeuJnj3fzL
48,2023-02-23 14:15:32+00:00,ndtv,#NDTVBeeps | 'The Romantics' Director On The Show's Making And Controversies https://t.co/J2GOQIGZXC
49,2023-02-23 14:11:24+00:00,ndtv,"Watch #LeftRightCentre with Vishnu Som, tonight at 9:30 on NDTV 24X7 and https://t.co/hMlRpgaRS6 https://t.co/dwm2cUjyXK"
50,2023-02-23 14:07:55+00:00,ndtv,"#NDTVExclusive | ""If an FIR has come and is registered under relevant sections of law, the police is duty-bound to arrest the person"": Assam Chief Minister Himanta Biswa Sarma on Congress' Pawan Khera's arrest https://t.co/YPXg7JFiFC"
51,2023-02-23 14:03:32+00:00,ndtv,"🔴Watch LIVE: Assam Chief Minister Himanta Biswa Sarma speaks exclusively to NDTV

https://t.co/hMlRpgaRS6 https://t.co/hqewPoXXUF"
52,2023-02-23 13:45:45+00:00,ndtv,High Court Pulls Up Civic Body After Hyderabad Boy Mauled To Death By Dogs  https://t.co/4uTDYhzKIF https://t.co/jh9WMFrkQS
53,2023-02-23 13:41:58+00:00,ndtv,"#NDTVExclusive | ""I could be arrested, I could be put in jail, I don't care... But at the end of the day, if I can defend one common man's right to speak freely, I will do it, not an issue"": BRS MLC K Kavitha (@RaoKavitha) https://t.co/asvnd0lWfX"
54,2023-02-23 13:37:59+00:00,ndtv,"#NDTVExclusive | ""Why is there no BJP person raided by the Enforcement Directorate today?"": BRS MLC K Kavitha (@RaoKavitha) https://t.co/EFE9aKTb2O"
55,2023-02-23 13:34:29+00:00,ndtv,"#NDTVExclusive | ""Gujarat model and Telangana model are entirely different. The Telangana model is a much better model because we've shown results on the ground"": BRS MLC K Kavitha (@RaoKavitha) https://t.co/fWBkv7W0UX"
56,2023-02-23 13:32:35+00:00,ndtv,"Watch #NewsroomNewsBreak, tonight at 7:30 on NDTV 24X7 and https://t.co/hMlRpgaRS6 https://t.co/m9TT8CKpco"
57,2023-02-23 13:26:02+00:00,ndtv,"#NDTVExclusive | ""Was Asked To Deplane As If I Am A Terrorist"": Pawan Khera After Bail https://t.co/qVL54MJA20"
58,2023-02-23 13:17:14+00:00,ndtv,"#NDTVExclusive | ""Was arrested without any notice"": Pawan Khera after getting bail

NDTV's Tanushree Pandey reports https://t.co/ol1ORYizJ3"
59,2023-02-23 13:10:42+00:00,ndtv,"#NDTVExclusive | ""Gujarat model and Telangana model are entirely different. The Telangana model is a much better model because we've shown results on the ground"": BRS MLC K Kavitha https://t.co/cr0Vpp4vBi"
60,2023-02-23 12:59:21+00:00,ndtv,"#NEwsAlert: Delhi | Dwarka court grants interim bail to Congress leader Pawan Khera in view of the order passed by the Supreme Court. The court granted him interim bail on furnishing a bond of Rs 30,000. He was arrested by Assam Police earlier today. | reported by ANI"
61,2023-02-23 12:57:22+00:00,ndtv,"#NDTVExclusive | BRS MLC K Kavitha, on Congress' Pawan Khera's arrest https://t.co/kTCxRoRX8B"
62,2023-02-23 12:54:36+00:00,ndtv,"🔴Watch Live: KCR's daughter K. Kavitha, speaks exclusively to NDTV 

https://t.co/hMlRpgaRS6 https://t.co/7dkl5WZo5I"
63,2023-02-23 12:51:53+00:00,ndtv,"""Petty, BJP Scared"": Bhupesh Baghel To NDTV On Delhi Airport Drama  https://t.co/YrIfPsVZOn https://t.co/rOLAJpR0Zh"
64,2023-02-23 12:47:39+00:00,ndtv,"""We Are Protecting You"": Supreme Court Relief For Congress' Pawan Khera  https://t.co/R2GQn5kzVF https://t.co/GYAKEabd1a"
65,2023-02-23 12:44:01+00:00,ndtv,"Watch | Congress President Mallikarjun Kharge, on Pawan Khera's arrest https://t.co/2OM1g2PFyE"
66,2023-02-23 12:38:24+00:00,ndtv,"Watch | Congress MP Shashi Tharoor, on Pawan Khera's arrest https://t.co/k70FCMvcBU"
67,2023-02-23 12:21:18+00:00,ndtv,"India Captain Harmanpreet Kaur Uncertain, Pooja Vastrakar Ruled Out Of Women's T20 World Cup Semi-Final Against Australia: Sources https://t.co/7NfCGT3Vir https://t.co/dGYYgsCTtn"
68,2023-02-23 12:08:21+00:00,ndtv,Arvind Kejriwal's Aide Questioned By Probe Agency In Liquor Policy Case    https://t.co/GPJdOia3GN https://t.co/6baHkJnRRn
69,2023-02-23 12:02:15+00:00,ndtv,"🔴#BREAKING | Letter war between Punjab Governor and Chief Minister 

NDTV's Akhilesh Sharma reports https://t.co/SrkaAli4mQ"
70,2023-02-23 11:59:00+00:00,ndtv,#Amritsar https://t.co/32sZRcP3Jo
